City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Innisfail,AU,2021-01-31 15:02:53,-17.5333,146.0333,75.24,90,100,3.56
263,Silver City,US,2021-01-31 14:59:30,32.7701,-108.2803,32.0,74,1,5.75
264,Harnosand,SE,2021-01-31 15:02:54,62.6323,17.9379,15.01,79,0,2.3
265,Koslan,RU,2021-01-31 15:02:54,63.4564,48.8989,18.34,97,100,8.46
266,Assiniboia,CA,2021-01-31 15:02:54,49.6334,-105.9845,-5.8,77,0,2.3
267,Abrau-Dyurso,RU,2021-01-31 15:02:54,44.69,37.59,50.0,81,75,13.42
268,Hay River,CA,2021-01-31 15:02:54,60.8156,-115.7999,-16.6,76,100,10.36
269,Taltal,CL,2021-01-31 15:01:12,-25.4,-70.4833,71.13,62,1,5.84
270,Guane,CU,2021-01-31 15:02:55,22.2025,-84.0875,74.95,73,99,12.3
271,Nuqui,CO,2021-01-31 15:02:55,5.7125,-77.2708,82.08,74,78,4.23
272,Wajima,JP,2021-01-31 15:02:55,37.4,136.9,38.97,74,0,8.21
273,Lavrentiya,RU,2021-01-31 15:02:55,65.5833,-171.0,-10.05,86,100,13.4
274,Bathsheba,BB,2021-01-31 15:02:55,13.2167,-59.5167,84.2,61,40,23.02
275,Norwich,GB,2021-01-31 15:00:52,52.6278,1.2983,39.2,56,0,16.11
276,Yar-Sale,RU,2021-01-31 15:02:56,66.8333,70.8333,-7.94,90,100,9.04
277,Fairbanks,US,2021-01-31 14:58:32,64.8378,-147.7164,-5.8,77,90,0.04
278,Koulikoro,ML,2021-01-31 15:02:56,14.0,-7.75,91.6,9,100,9.42
279,Rumonge,BI,2021-01-31 15:02:56,-3.9736,29.4386,80.37,61,97,1.01
280,Mandali,IQ,2021-01-31 15:02:56,33.7499,45.5541,56.35,41,28,1.95
281,Ucluelet,CA,2021-01-31 15:00:05,48.9329,-125.5528,46.0,92,100,3.0
282,Qiongshan,CN,2021-01-31 15:02:57,20.0058,110.3542,64.4,100,0,13.42
283,Tabou,CI,2021-01-31 15:02:57,4.423,-7.3528,82.29,80,57,7.31
284,Lakatoro,VU,2021-01-31 15:02:57,-16.0999,167.4164,78.62,75,22,3.6
285,Richards Bay,ZA,2021-01-31 15:02:57,-28.783,32.0377,86.95,67,0,14.5
286,Saint-Pierre,RE,2021-01-31 15:02:57,-21.3393,55.4781,84.2,70,0,28.77
287,Puerto Escondido,MX,2021-01-31 15:02:57,15.85,-97.0667,77.0,88,1,5.75
288,Ilo,PE,2021-01-31 15:02:45,-17.6394,-71.3375,73.29,63,38,9.78
289,Takoradi,GH,2021-01-31 15:02:58,4.8845,-1.7554,83.82,74,78,8.84
290,Havre-Saint-Pierre,CA,2021-01-31 15:02:58,50.2334,-63.5986,24.8,68,90,6.91
291,Nazarovo,RU,2021-01-31 15:02:58,56.0064,90.3914,-20.72,83,72,7.18
