City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Saraland,US,30.8207,-88.0706,45.0,95,100,1.01,overcast clouds
315,Chiscani,RO,45.1833,27.9333,41.0,93,90,1.14,overcast clouds
316,Wamba,NG,8.9333,8.6,74.39,23,0,3.0,clear sky
317,Freeport,US,40.6576,-73.5832,39.0,81,1,11.88,clear sky
318,Khrenovoye,RU,51.12,40.2889,13.03,91,100,13.89,overcast clouds
319,Northam,GB,51.0333,-4.2167,37.99,93,11,4.0,few clouds
320,Salalah,OM,17.0151,54.0924,69.8,68,20,3.44,few clouds
321,Amahai,ID,-3.3333,128.9167,86.43,63,0,3.0,clear sky
322,Palmer,US,42.1584,-72.3287,30.99,100,75,3.44,fog
323,Katete,UG,-0.7818,29.7544,64.11,88,100,3.42,overcast clouds
324,Muborak,UZ,39.2553,65.1528,50.04,44,0,9.84,clear sky
325,Tura,IN,25.5198,90.2201,59.61,48,0,2.17,clear sky
326,Sinnamary,GF,5.3833,-52.95,77.41,87,92,14.65,overcast clouds
327,Fremont,US,37.5483,-121.9886,61.0,51,1,6.91,clear sky
328,New Iberia,US,30.0035,-91.8187,50.0,87,90,6.91,overcast clouds
329,Lauterbach,DE,50.6333,9.4,39.99,96,100,3.62,overcast clouds
330,Santa Rosalia,MX,27.3167,-112.2833,62.24,43,0,9.75,clear sky
331,Berdigestyakh,RU,62.0989,126.6992,-40.27,78,57,4.07,broken clouds
332,Byron Bay,AU,-28.65,153.6167,84.2,65,40,8.05,scattered clouds
333,Sabha,LY,27.0377,14.4283,56.88,36,0,10.25,clear sky
334,Olinda,BR,-8.0089,-34.8553,78.8,73,75,6.91,broken clouds
335,Kahului,US,20.8947,-156.47,75.2,53,40,11.5,scattered clouds
336,Kidal,ML,18.4411,1.4078,70.32,20,100,11.34,overcast clouds
337,Kaka,TM,37.3482,59.6143,56.91,35,18,6.2,few clouds
338,Stillwater,US,36.1156,-97.0584,51.8,32,1,4.7,clear sky
339,Secovce,SK,48.7007,21.661,35.01,93,90,10.36,light snow
340,Constitucion,CL,-35.3333,-72.4167,56.95,90,0,0.45,clear sky
341,Palana,RU,59.1167,159.9667,0.64,91,100,4.63,overcast clouds
342,Rawson,AR,-43.3002,-65.1023,63.18,68,0,27.85,clear sky
343,Madimba,TZ,-10.4,40.3333,75.2,88,20,9.22,few clouds
344,Da Nang,VN,16.0678,108.2208,69.8,83,75,1.14,broken clouds
345,Russell,US,32.3502,-85.1999,50.0,43,90,3.44,overcast clouds
346,Ukiah,US,39.1502,-123.2078,62.6,42,1,6.91,clear sky
